train 67404 images, use 1200.9592757225037 seconds, loss 16.56559120077943
train 67604 images, use 1204.160263299942 seconds, loss 16.56546607924247
train 67804 images, use 1207.4508864879608 seconds, loss 16.564484619205434
train 68004 images, use 1210.6576163768768 seconds, loss 16.563814487475224
train 68204 images, use 1213.854644060135 seconds, loss 16.562573327778818
train 68404 images, use 1217.0698626041412 seconds, loss 16.56115945912623
train 68604 images, use 1220.1949484348297 seconds, loss 16.560716901586126
train 68804 images, use 1223.3722896575928 seconds, loss 16.559878367377554
train 69004 images, use 1226.6576311588287 seconds, loss 16.55950210637845
train 69204 images, use 1229.980767250061 seconds, loss 16.558058574618308
train 69404 images, use 1233.1848073005676 seconds, loss 16.556571838162142
train 69604 images, use 1236.3845098018646 seconds, loss 16.55651875455247
train 69804 images, use 1239.5212762355804 seconds, loss 16.55555988849917
train 70004 images, use 1242.6913566589355 seconds, loss 16.555619660683625
train 70204 images, use 1245.9047100543976 seconds, loss 16.554262892267545
train 70404 images, use 1249.0474174022675 seconds, loss 16.55266233049134
train 70604 images, use 1252.2693040370941 seconds, loss 16.552080901604295
train 70804 images, use 1255.4173700809479 seconds, loss 16.551118739620197
train 71004 images, use 1258.5082614421844 seconds, loss 16.54973811848629
train 71204 images, use 1261.6714313030243 seconds, loss 16.5488520843931
train 71404 images, use 1264.8293590545654 seconds, loss 16.54827866141849
train 71604 images, use 1267.9295909404755 seconds, loss 16.547270607727224
train 71804 images, use 1271.0853207111359 seconds, loss 16.546230432024615
train 72004 images, use 1274.4811697006226 seconds, loss 16.544822007573295
train 72204 images, use 1277.638013124466 seconds, loss 16.544341931130706
train 72404 images, use 1280.783899307251 seconds, loss 16.54353672722376
train 72604 images, use 1283.9280445575714 seconds, loss 16.542908631951445
train 72804 images, use 1287.3702957630157 seconds, loss 16.54194971797571
train 73004 images, use 1290.644143819809 seconds, loss 16.540882327121363
train 73204 images, use 1293.8172974586487 seconds, loss 16.540180003443723
train 73404 images, use 1297.0287327766418 seconds, loss 16.53871699946802
train 73604 images, use 1300.2851281166077 seconds, loss 16.537314844033002
train 73804 images, use 1303.507392168045 seconds, loss 16.536371398948937
train 74004 images, use 1306.7401070594788 seconds, loss 16.535071811680147
train 74204 images, use 1309.9958279132843 seconds, loss 16.534316218840043
train 74404 images, use 1313.272055387497 seconds, loss 16.533365345452374
train 74604 images, use 1316.6050543785095 seconds, loss 16.53261892897311
train 74804 images, use 1319.8289012908936 seconds, loss 16.532437855056894
train 75004 images, use 1323.0656633377075 seconds, loss 16.532448493020528
train 75204 images, use 1326.2572650909424 seconds, loss 16.530915547756297
train 75404 images, use 1329.5596597194672 seconds, loss 16.530183369962117
train 75604 images, use 1332.841584444046 seconds, loss 16.529719492630054
train 75804 images, use 1336.0878412723541 seconds, loss 16.529516577116794
train 76004 images, use 1339.3496334552765 seconds, loss 16.528704383174766
train 76204 images, use 1342.5313997268677 seconds, loss 16.528261002687355
train 76404 images, use 1345.816630601883 seconds, loss 16.52805395069428
train 76604 images, use 1349.1392171382904 seconds, loss 16.5273594457902
train 76804 images, use 1352.352859735489 seconds, loss 16.526922096772537
train 77004 images, use 1355.6427609920502 seconds, loss 16.525984702277725
train 77204 images, use 1358.8543009757996 seconds, loss 16.52508549289547
train 77404 images, use 1362.1589617729187 seconds, loss 16.524313216566203
train 77604 images, use 1365.3930258750916 seconds, loss 16.523758969347742
train 77804 images, use 1368.58167552948 seconds, loss 16.523791546932394
train 78004 images, use 1371.8175864219666 seconds, loss 16.52300513178223
train 78204 images, use 1375.0350847244263 seconds, loss 16.522068198398365
train 78404 images, use 1378.4263668060303 seconds, loss 16.521644290254233
train 78604 images, use 1381.6648824214935 seconds, loss 16.520856766406663
train 78804 images, use 1384.901956319809 seconds, loss 16.520011441088755
train 79004 images, use 1388.2217965126038 seconds, loss 16.519506087424833
train 79204 images, use 1391.4853963851929 seconds, loss 16.518377384697832
train 79404 images, use 1394.7107985019684 seconds, loss 16.517536027475202
train 79604 images, use 1398.0509362220764 seconds, loss 16.517414390879075
train 79804 images, use 1401.3162117004395 seconds, loss 16.51642027972886
train 80004 images, use 1404.5657181739807 seconds, loss 16.515875930011827
train 80204 images, use 1407.7318456172943 seconds, loss 16.514810039306052
train 80404 images, use 1411.060757637024 seconds, loss 16.513766299621487
train 80604 images, use 1414.342567205429 seconds, loss 16.51295522088425
train 80804 images, use 1417.5605955123901 seconds, loss 16.512477123599254
train 81004 images, use 1420.7187020778656 seconds, loss 16.51150171549076
train 81204 images, use 1424.0467314720154 seconds, loss 16.511007173579735
train 81404 images, use 1427.281054019928 seconds, loss 16.510897526248073
train 81604 images, use 1430.4900598526 seconds, loss 16.50991010142359
train 81804 images, use 1433.7689895629883 seconds, loss 16.50883108324998
train 82004 images, use 1436.9953784942627 seconds, loss 16.50850814759423
train 82204 images, use 1440.152957201004 seconds, loss 16.50761414307386
train 82404 images, use 1443.3984036445618 seconds, loss 16.506710039158605
train 82604 images, use 1446.576568365097 seconds, loss 16.505937095901057
train 82804 images, use 1449.8325679302216 seconds, loss 16.505321944880492
train 83004 images, use 1453.0459716320038 seconds, loss 16.504644644517757
train 83204 images, use 1456.231380701065 seconds, loss 16.504143434148055
train 83404 images, use 1459.3901715278625 seconds, loss 16.503322910946938
train 83604 images, use 1462.5486385822296 seconds, loss 16.50280403668841
train 83804 images, use 1465.759395122528 seconds, loss 16.50181518728927
train 84004 images, use 1469.0013098716736 seconds, loss 16.50138948563337
train 84204 images, use 1472.26145529747 seconds, loss 16.500387912101896
train 84404 images, use 1475.5102961063385 seconds, loss 16.49990247570613
train 84604 images, use 1478.5760779380798 seconds, loss 16.49907679718309
train 84804 images, use 1481.5973436832428 seconds, loss 16.498125212944384
train 85004 images, use 1484.7178266048431 seconds, loss 16.497941086123088
train 85204 images, use 1488.0036001205444 seconds, loss 16.497530352150417
train 85404 images, use 1491.0511360168457 seconds, loss 16.496274164036535
train 85604 images, use 1493.9480066299438 seconds, loss 16.49548904112194
train 85804 images, use 1496.864298582077 seconds, loss 16.49459359496026
train 86004 images, use 1499.8540647029877 seconds, loss 16.494209576557875
train 86204 images, use 1502.7527167797089 seconds, loss 16.493744413279213
train 86404 images, use 1505.7399597167969 seconds, loss 16.492690349086523
train 86604 images, use 1508.714849948883 seconds, loss 16.49200040149354
